,BDM,Territory,SourceSpreadsheetID,ItemKey,GenericName,BrandName,DosageStrength,BatchLotNo,ExpiryDate,SoldPer,StockOnHand,MinimalStock,PurchasePrice,SellingPrice,InventoryValue,IsActive,NearExpiryFlag,StockStatus,Remarks
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Tachyban | 6 mg/2 mL | 2F25001,Adenosine,Tachyban,6 mg/2 mL,2F25001,01/01/28,ampoule,50,25,180.00,570.00,"9,000.00",TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Acrimet | 10 mg /2 mL | AEQ23001,Metoclopramide,Acrimet,10 mg /2 mL,AEQ23001,02/28/26,ampoule,50,50,26.80,70.00,"1,340.00",FALSE,EXPIRY RISK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Noprivex 6000 iu | 0.6 mL | BNI0824055,Enoxaparin,Noprivex 6000 iu,0.6 mL,BNI0824055,07/01/26,PFS,190,50,450.00,600.00,"85,500.00",TRUE,EXPIRY RISK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Noprivex 4000 iu | 0.4 mL | BNI0824056,Enoxaparin,Noprivex 4000 iu,0.4 mL,BNI0824056,07/01/26,PFS,100,50,350.00,450.00,"35,000.00",TRUE,EXPIRY RISK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,HCD Nitrile | Large | P0060000003035052402,Gloves ,HCD Nitrile,Large,P0060000003035052402,04/01/27,box of 100s,100,50,140.00,180.00,"14,000.00",TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Partners Oxygen Cannula | Adult | SC23814Ph,Oxygen Cannula,Partners Oxygen Cannula,Adult,SC23814Ph,09/01/28,piece,1000,250,14.00,19.00,"14,000.00",TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Partners Oxygen Cannula | Pedia | SC23813PH,Oxygen Cannula,Partners Oxygen Cannula,Pedia,SC23813PH,09/01/28,piece,500,250,13.91,19.00,"6,955.00",TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Partners Suction Cath | FR 14 | MD21777006,Suction Catheter,Partners Suction Cath,FR 14,MD21777006,01/11/28,piece,1000,500,5.82,9.00,"5,820.00",TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Philvan | 1 g | UTDJ4B4,Vancomycin,Philvan,1 g,UTDJ4B4,09/01/26,Vial,90,50,160.00,680.00,"14,400.00",TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Vitaroxima | 750 mg | C249132,Cefuroxime,Vitaroxima,750 mg,C249132,11/07/27,vial,100,50,115.00,500.00,"11,500.00",TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Cardowin | 10 mg/10 mL | GN5935,Nicardipine,Cardowin,10 mg/10 mL,GN5935,11/01/28,ampoule,10,10,105.00,550.00,"1,050.00",TRUE,REORDER,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Porfever | 300 mg/2 mL | 251153,Paracetamol,Porfever,300 mg/2 mL,251153,11/01/28,ampoule,800,300,6.50,45.00,"5,200.00",TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Nupira | 4 mg/ 4 mL | FW10-16SE,Norepinephrine,Nupira,4 mg/ 4 mL,FW10-16SE,07/01/28,ampoule,100,50,100.00,450.00,"10,000.00",TRUE,OK,OK,
BAC,Mae Navarro,VIP Bacolod,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,Viprazole | 40 mg | D260118,Omeprazole,Viprazole,40 mg,D260118,12/30/28,vial,400,200,40.00,450.00,"16,000.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Vitaroxima | 750 mg | C240064,Cefuroxime,Vitaroxima,750 mg,C240064,12/04/27,vial,360,200,115.00,500.00,"41,400.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Viptriaxone | 1 g | ECFXM24107,Ceftriaxone,Viptriaxone,1 g,ECFXM24107,03/30/29,vial,4922,200,40.00,480.00,"196,880.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Viprazole | 40 mg | DG50113,Omeprazole,Viprazole,40 mg,DG50113,01/30/28,vial,176,200,45.00,450.00,"7,920.00",TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Liferzin | 250 mg | 2411617,Ampicillin,Liferzin,250 mg,2411617,11/30/27,vial,250,50,15.00,50.00,"3,750.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Cocine | 500 mg/2 mL | XV4F001,Amikacine,Cocine ,500 mg/2 mL,XV4F001,05/30/27,vial,90,50,55.00,130.00,"4,950.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Cocine | 250 mg/2 mL | XV4F014,Amikacine,Cocine ,250 mg/2 mL,XV4F014,05/30/27,vial,94,50,35.00,130.00,"3,290.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Tachyban | 6 mg/2 ml | T230541,Adenosine,Tachyban,6 mg/2 ml,T230541,10/30/26,ampoule,61,100,180.00,570.00,"10,980.00",TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Atrix | 1 mg/mL | 141230201,Atropine,Atrix,1 mg/mL,141230201,02/20/26,ampoule,60,50,150.00,570.00,"9,000.00",FALSE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Ascorsaph- Zee | 500 mg/10 mL | NZE153,Ascorbic Acid Zinc,Ascorsaph- Zee,500 mg/10 mL,NZE153,04/30/27,capsule,300,100,1.08,5.00,324.00,TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Bupiright | 5 mg/mL | 4602401,Bupivacaine,Bupiright,5 mg/mL,12/10/14500,03/30/27,vial,3,100,205.00,490.00,615.00,TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Cefazovit | 1 g | C240029,Cafazolin,Cefazovit,1 g,C240029,02/16/27,vial,180,100,118.00,350.00,"21,240.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Haixone | 1 g | FW10.125E,Ceftriaxone,Haixone,1 g,FW10.125E,09/30/28,vial,156,100,33.00,300.00,"5,148.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Ceftazivit | 1 g | C230159,Ceftazidime,Ceftazivit,1 g,C230159,11/11/26,vial,100,100,187.00,750.00,"18,700.00",TRUE,REORDER,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Ceftrinova | 1 g | YNA3209,Ceftriaxone,Ceftrinova,1 g,YNA3209,10/30/26,vial,60,100,33.00,100.00,"1,980.00",TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Kelxime | 1 g | FW10125E,Cefotaxime,Kelxime,1 g,FW10125E,09/30/28,vial,24,20,60.00,300.00,"1,440.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Clonisur | 150 mcg/mL | GN2241,Clonidine,Clonisur,150 mcg/mL,GN2241,08/30/26,ampoule,50,50,95.00,130.00,"4,750.00",TRUE,REORDER,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Cefunova | 750 mg | YUN4201,Cefuroxime,Cefunova,750 mg,YUN4201,06/30/27,vial,220,100,20.00,70.00,"4,400.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Cyprox | 500 mg | 233123005,Ciprofloxacin,Cyprox,500 mg,233123005,01/30/26,capsule,100,100,1.56,9.61,156.00,FALSE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Execore | 500 mg | ECT240051,Cefuroxime,Execore,500 mg,ECT240051,02/28/27,tablet,560,200,9.00,35.00,"5,040.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Doburis | 50 mg/mL | D04551,Dobutamine,Doburis,50 mg/mL,D04551,02/28/26,ampoule,50,50,117.00,500.00,"5,850.00",FALSE,EXPIRY RISK,OK,
