_id,brand_name,generic_name,dosage_strength,unit_code,selling_price,item_key,vat_status,is_active
69cdfa337d949500267e8ce1,"Partners 2 X 10 Yards","Gauze Bandage","2 X 10 Yards",PC,0,Partners 2 X 10 Yards|2 X 10 Yards,VATABLE,TRUE
69cdfa337d949500267e8ce4,"Partners 2x 2 X8 Ply","Gauze Bandage","2"" X2 X 8 Ply",PC,0,Partners 2x 2 X8 Ply|2" X2 X 8 Ply,VATABLE,TRUE
69cdfa337d949500267e8ce7,"Partners 3 Inch X 5 Yards","Elastic Bandage","3 Inch X 5 Yards",PC,0,Partners 3 Inch X 5 Yards|3 Inch X 5 Yards,VATABLE,TRUE
69cdfa337d949500267e8cea,"Partners 4 Inch X 5 Yards","Elastic Bandage","4 Inch X 5 Yards",PC,0,Partners 4 Inch X 5 Yards|4 Inch X 5 Yards,VATABLE,TRUE
69cdfa337d949500267e8ced,"Partners 4 X 10 Yards","Gauze Bandage","4 X10 Yards",PC,0,Partners 4 X 10 Yards|4 X10 Yards,VATABLE,TRUE
69cdfa347d949500267e8cf0,"Partners 4 X 4 X8 Ply","Gauze Bandage","4""x4"" X8 Ply",PC,0,Partners 4 X 4 X8 Ply|4"x4" X8 Ply,VATABLE,TRUE
69cdfa347d949500267e8cf3,"Partners 6 Inch X 5 Yards","Elastic Bandage","6 Inch X 5 Yards",PC,0,Partners 6 Inch X 5 Yards|6 Inch X 5 Yards,VATABLE,TRUE
69cdfa347d949500267e8cf6,"Partners Bouffant Cap","Bouffant Cap","Catterpilar Type 24",PC,190,Partners Bouffant Cap|Catterpilar Type 24,VATABLE,TRUE
69cdfa347d949500267e8cf9,"Partners D Tube","Gastric Duodenal Tube","Fr 18",PC,185,Partners D Tube|Fr 18,VATABLE,TRUE
69cdfa347d949500267e8cfc,"Partners Diaper","Diaper","Large",PC,30,Partners Diaper|Large,VATABLE,TRUE
69cdfa357d949500267e8cff,"Partners Diaper","Diaper","Medium",PC,30,Partners Diaper|Medium,VATABLE,TRUE
69cdfa357d949500267e8d02,"Partners E Tube","Endotrachea Tube","Fr 8",PC,55,Partners E Tube|Fr 8,VATABLE,TRUE
69cdfa357d949500267e8d05,"Partners Elastic","Elastic Bandage","3x5",PC,30,Partners Elastic|3x5,VATABLE,TRUE
69cdfa357d949500267e8d08,"Partners Elastic","Elastic Bandage","4x5",PC,30,Partners Elastic|4x5,VATABLE,TRUE
69cdfa357d949500267e8d0b,"Partners Endo Tube","Endotracheal Tube","2",PC,55,Partners Endo Tube|2,VATABLE,TRUE
69cdfa367d949500267e8d0e,"Partners Endo Tube","Endotracheal Tube","3",PC,55,Partners Endo Tube|3,VATABLE,TRUE
69cdfa367d949500267e8d11,"Partners Endo Tube","Endotracheal Tube","3.5",PC,55,Partners Endo Tube|3.5,VATABLE,TRUE
69cdfa367d949500267e8d14,"Partners Endo Tube","Endotracheal Tube","4",PC,55,Partners Endo Tube|4,VATABLE,TRUE
69cdfa367d949500267e8d17,"Partners Endo Tube","Endotracheal Tube","4.5",PC,55,Partners Endo Tube|4.5,VATABLE,TRUE
69cdfa377d949500267e8d1a,"Partners Endo Tube","Endotracheal Tube","5",PC,55,Partners Endo Tube|5,VATABLE,TRUE
69cdfa377d949500267e8d1d,"Partners Endo Tube","Endotracheal Tube","5.5",PC,55,Partners Endo Tube|5.5,VATABLE,TRUE
69cdfa377d949500267e8d20,"Partners Endo Tube","Endotracheal Tube","6",PC,55,Partners Endo Tube|6,VATABLE,TRUE
69cdfa387d949500267e8d23,"Partners Endo Tube","Endotracheal Tube","6.5",PC,55,Partners Endo Tube|6.5,VATABLE,TRUE
69cdfa387d949500267e8d26,"Partners Endo Tube","Endotracheal Tube","7",PC,60,Partners Endo Tube|7,VATABLE,TRUE
69cdfa387d949500267e8d29,"Partners Endo Tube","Endotracheal Tube","7.5",PC,55,Partners Endo Tube|7.5,VATABLE,TRUE
69cdfa397d949500267e8d2c,"Partners Endo Tube","Endotracheal Tube","8",PC,55,Partners Endo Tube|8,VATABLE,TRUE
69cdfa397d949500267e8d2f,"Partners Face Mask","Surgical Face Mask","3 Ply",PC,95,Partners Face Mask|3 Ply,VATABLE,TRUE
69cdfa397d949500267e8d32,"Partners Feed Tube","Feeding Tube","5",PC,15,Partners Feed Tube|5,VATABLE,TRUE
69cdfa397d949500267e8d35,"Partners Feed Tube","Feeding Tube","8",PC,18,Partners Feed Tube|8,VATABLE,TRUE
69cdfa3a7d949500267e8d38,"Partners Foley Cath","Foley Catheter","12",PC,50,Partners Foley Cath|12,VATABLE,TRUE
69cdfa3a7d949500267e8d3b,"Partners Foley Cath","Foley Catheter","Fr 8",PC,55,Partners Foley Cath|Fr 8,VATABLE,TRUE
69cdfa3a7d949500267e8d3e,"Partners Gauze Roll","Gauze Roll","36X100Y",PC,1,Partners Gauze Roll|36X100Y,VATABLE,TRUE
69cdfa3b7d949500267e8d41,"Partners Ls","Lap Sponge","12 X 12",PC,60,Partners Ls|12 X 12,VATABLE,TRUE
69cdfa3b7d949500267e8d44,"Partners Lubricating Jelly","Lubricating Jelly","5g",PC,0,Partners Lubricating Jelly|5g,VATABLE,TRUE
69cdfa3b7d949500267e8d47,"Partners Nebulizer Kit/adult","Nebulizer Kit/mask","Adult",PC,45,Partners Nebulizer Kit/adult|Adult,VATABLE,TRUE
69cdfa3b7d949500267e8d4a,"Partners Nebulizer Kit/pedia","Nebulizer Kit/mask","Pedia",PC,45,Partners Nebulizer Kit/pedia|Pedia,VATABLE,TRUE
69cdfa3b7d949500267e8d4d,"Partners Ngt","Silicone","#16",PC,185,Partners Ngt|#16,VATABLE,TRUE
69cdfa3c7d949500267e8d50,"Partners Ngt","Silicone","#18",PC,185,Partners Ngt|#18,VATABLE,TRUE
69cdfa3c7d949500267e8d53,"Partners O2 Can","Oxygen Cannula","Adult",PC,19,Partners O2 Can|Adult,VATABLE,TRUE
69cdfa3c7d949500267e8d56,"Partners O2 Can","Oxygen Cannula","Pedia",PC,19,Partners O2 Can|Pedia,VATABLE,TRUE
69cdfa3c7d949500267e8d59,"Partners Penrose Tubing","Penrose Drainage Tubing","1""",PC,0,Partners Penrose Tubing|1",VATABLE,TRUE
69cdfa3c7d949500267e8d5c,"Partners Resu Pvc","Manual Resuscitator","Adult",PC,880,Partners Resu Pvc|Adult,VATABLE,TRUE
69cdfa3d7d949500267e8d5f,"Partners Resu Pvc","Manual Resuscitator","Pedia",PC,880,Partners Resu Pvc|Pedia,VATABLE,TRUE
69cdfa3d7d949500267e8d62,"Partners S Cath","Suction Catheter","#10",PC,12,Partners S Cath|#10,VATABLE,TRUE
69cdfa3d7d949500267e8d65,"Partners S Cath","Suction Catheter","#12",PC,12,Partners S Cath|#12,VATABLE,TRUE
69cdfa3d7d949500267e8d68,"Partners S Cath","Suction Catheter","#14",PC,12,Partners S Cath|#14,VATABLE,TRUE
69cdfa3d7d949500267e8d6b,"Partners S Cath","Suction Catheter","#16",PC,12,Partners S Cath|#16,VATABLE,TRUE
69cdfa3d7d949500267e8d6e,"Partners S Tube","Stomach Tube","#14",PC,14,Partners S Tube|#14,VATABLE,TRUE
69cdfa3e7d949500267e8d71,"Partners S Tube","Stomach Tube","#16",PC,14,Partners S Tube|#16,VATABLE,TRUE
69cdfa3e7d949500267e8d74,"Partners S Tube","Stomach Tube","Fr 16",PC,16,Partners S Tube|Fr 16,VATABLE,TRUE
69cdfa3e7d949500267e8d77,"Partners Stomach Tube","Stomach Tube","Fr 18",PC,15,Partners Stomach Tube|Fr 18,VATABLE,TRUE
69cdfa3e7d949500267e8d7a,"Partners Stool Container","Stool Container","",PC,9,Partners Stool Container|,VATABLE,TRUE
69cdfa3e7d949500267e8d7d,"Partners Suc Cath","Suction Cath","#14",PC,9,Partners Suc Cath|#14,VATABLE,TRUE
69cdfa3e7d949500267e8d80,"Partners Suc Cath","Suction Catheter","10",PC,11,Partners Suc Cath|10,VATABLE,TRUE
69cdfa3f7d949500267e8d83,"Partners Suc Cath","Suction Catheter","12",PC,11,Partners Suc Cath|12,VATABLE,TRUE
69cdfa3f7d949500267e8d86,"Partners Suc Cath","Suction Catheter","5",PC,11,Partners Suc Cath|5,VATABLE,TRUE
69cdfa3f7d949500267e8d89,"Partners Suc Cath","Suction Catheter","Fr 14",PC,12.22,Partners Suc Cath|Fr 14,VATABLE,TRUE
69cdfa3f7d949500267e8d8c,"Partners Surgical Mask","Face Mask","Earloop",BOX,90,Partners Surgical Mask|Earloop,VATABLE,TRUE
69cdfa3f7d949500267e8d8f,"Partners Thermometer","Digital Thermometer","0.1c/0.2F",PC,65,Partners Thermometer|0.1c/0.2F,VATABLE,TRUE
69cdfa407d949500267e8d92,"Partners Underpads","Underpads","60x90",PACK,200,Partners Underpads|60x90,VATABLE,TRUE
69cdfa407d949500267e8d95,"Phenerex","Promethazine","50mg/2ml",AMPULE,100,Phenerex|50mg/2ml,VATABLE,TRUE
69cdfa407d949500267e8d98,"Philvan","Vancomycin","1g",AMPULE,720,Philvan|1g,VATABLE,TRUE
69cdfa407d949500267e8d9b,"Philvan","Vancomycin","500mg",AMPULE,720,Philvan|500mg,VATABLE,TRUE
69cdfa417d949500267e8da1,"Phytocare","Phytomenadione","10mg/mL",AMPULE,75,Phytocare|10mg/mL,VATABLE,FALSE
69cdfa417d949500267e8da4,"Phytocore","Phytomenadione","10mg/2ml",AMPULE,75,Phytocore|10mg/2ml,VATABLE,TRUE
69cdfa417d949500267e8da7,"Phytodone","Phytomedaione","10mg/mL",AMPULE,45,Phytodone|10mg/mL,VATABLE,TRUE
69cdfa417d949500267e8daa,"Pletaxol","Cilostazol","100mg",AMPULE,0,Pletaxol|100mg,VATABLE,FALSE
69cdfa417d949500267e8dad,"Porfever","Paracetamol","150mg",AMPULE,45,Porfever|150mg,VATABLE,TRUE
69cdfa427d949500267e8db0,"Porfever","Paracetamol","150mg/mL",AMPULE,35,Porfever|150mg/mL,VATABLE,FALSE
69cdfa427d949500267e8db3,"Porfever","Paracetamol","300mg/ 2ml",AMPULE,40,Porfever|300mg/ 2ml,VATABLE,TRUE
69cdfa427d949500267e8db6,"Porfever","Paracetamol","300mg/2ml",AMPULE,35,Porfever|300mg/2ml,VATABLE,TRUE
69cdfa427d949500267e8db9,"Profmax","Propofol","10mg/mL",VIAL,0,Profmax|10mg/mL,VATABLE,TRUE
69cdfa427d949500267e8dbc,"Qualiprazole","Omeprazole","40mg",VIAL,450,Qualiprazole|40mg,VATABLE,TRUE
69cdfa437d949500267e8dbf,"Ranicid","Ranitidine","25mg/mL",VIAL,85,Ranicid|25mg/mL,VATABLE,TRUE
69cdfa437d949500267e8dc2,"Ranicid","Ranitidine HCL","25mg/ml",AMPULE,85,Ranicid|25mg/ml,VATABLE,TRUE
69cdfa437d949500267e8dc5,"Ranicid","Ranitidine","50mg/2ml",AMPULE,95,Ranicid|50mg/2ml,VATABLE,TRUE
69cdfa437d949500267e8dc8,"Ranitein","Ranitidine HCL","25mg/ml",AMPULE,65,Ranitein|25mg/ml,VATABLE,TRUE
69cdfa437d949500267e8dcb,"Sedansenz Airway","Guedel Airway","80 Mm",PC,51,Sedansenz Airway|80 Mm,VATABLE,TRUE
69cdfa447d949500267e8dce,"Sedansenz E Tt","Et Tube Cuffed","8.0 Mm",PC,72,Sedansenz E Tt|8.0 Mm,VATABLE,TRUE
69cdfa447d949500267e8dd1,"Sedazenz E Tt Uncuffed","Et Tube (uncuffed)","3.5 Mm",PC,86,Sedazenz E Tt Uncuffed|3.5 Mm,VATABLE,TRUE
69cdfa447d949500267e8dd4,"Seredol","Haloperidol","5mg/mL",AMPULE,1,Seredol|5mg/mL,VATABLE,TRUE
69cdfa447d949500267e8dd7,"Simplex Muc Ex","Mucus Extractor","Dp",PC,93,Simplex Muc Ex|Dp,VATABLE,TRUE
69cdfa447d949500267e8dda,"Simplex Muc Ex","Mucus Extractor","In",PC,93,Simplex Muc Ex|In,VATABLE,TRUE
69cdfa447d949500267e8ddd,"Simplex Ngt Dou","Ngt Duodenal Tube","Fr 16",PC,14,Simplex Ngt Dou|Fr 16,VATABLE,TRUE
69cdfa457d949500267e8de0,"Simplex Suc Cath","Suction Cath","Fr 16",PC,14,Simplex Suc Cath|Fr 16,VATABLE,TRUE
69cdfa457d949500267e8de3,"Simplex T Drain","T-tube Drain","Fr 12",PC,145,Simplex T Drain|Fr 12,VATABLE,TRUE
69cdfa457d949500267e8de6,"Simplex T Drain","T-tube Drain","Fr 14",PC,145,Simplex T Drain|Fr 14,VATABLE,TRUE
69cdfa457d949500267e8de9,"Simplex T Drain","T-tube Drain","Fr 16",PC,145,Simplex T Drain|Fr 16,VATABLE,TRUE
69cdfa457d949500267e8dec,"Simplex T Drain","T-tube Drain","Fr 18",PC,145,Simplex T Drain|Fr 18,VATABLE,TRUE
